age_start,age_end,sex,race_ethnicity,relationship,proportion
0,15,Female,AIAN,Adopted child,0.006823133017940309
0,15,Female,AIAN,Biological child,0.16742685727540235
0,15,Female,AIAN,Child-in-law,0.0
0,15,Female,AIAN,Foster child,0.09783880220667474
0,15,Female,AIAN,Grandchild,0.41025313001778
0,15,Female,AIAN,Opp-sex partner,0.0
0,15,Female,AIAN,Opp-sex spouse,0.0
0,15,Female,AIAN,Other nonrelative,0.11024402579758966
0,15,Female,AIAN,Other relative,0.15350118346951552
0,15,Female,AIAN,Parent,0.0
0,15,Female,AIAN,Parent-in-law,0.0
0,15,Female,AIAN,Roommate,0.005128943543851763
0,15,Female,AIAN,Same-sex partner,0.0
0,15,Female,AIAN,Same-sex spouse,0.0
0,15,Female,AIAN,Sibling,0.005168932096663509
0,15,Female,AIAN,Stepchild,0.04361499257458204
0,15,Female,Asian,Adopted child,0.006284353675638376
0,15,Female,Asian,Biological child,0.3089238138332659
0,15,Female,Asian,Child-in-law,0.0
0,15,Female,Asian,Foster child,0.038106320814605486
0,15,Female,Asian,Grandchild,0.3066562477960243
0,15,Female,Asian,Opp-sex partner,0.0
0,15,Female,Asian,Opp-sex spouse,0.0
0,15,Female,Asian,Other nonrelative,0.07815304075637784
0,15,Female,Asian,Other relative,0.21220229270806085
0,15,Female,Asian,Parent,0.0
0,15,Female,Asian,Parent-in-law,0.0
0,15,Female,Asian,Roommate,0.004726062980499761
0,15,Female,Asian,Same-sex partner,0.0
0,15,Female,Asian,Same-sex spouse,0.0
0,15,Female,Asian,Sibling,0.004761470675594093
0,15,Female,Asian,Stepchild,0.04018639675993338
0,15,Female,Black,Adopted child,0.009822710419676152
0,15,Female,Black,Biological child,0.17180963579524558
0,15,Female,Black,Child-in-law,0.0
0,15,Female,Black,Foster child,0.07314576644126093
0,15,Female,Black,Grandchild,0.4660913909322004
0,15,Female,Black,Opp-sex partner,0.0
0,15,Female,Black,Opp-sex spouse,0.0
0,15,Female,Black,Other nonrelative,0.078904459217644
0,15,Female,Black,Other relative,0.14367301006078056
0,15,Female,Black,Parent,0.0
0,15,Female,Black,Parent-in-law,0.0
0,15,Female,Black,Roommate,0.005816228184906708
0,15,Female,Black,Same-sex partner,0.0
0,15,Female,Black,Same-sex spouse,0.0
0,15,Female,Black,Sibling,0.005864031344424326
0,15,Female,Black,Stepchild,0.04487276760386123
0,15,Female,Latino,Adopted child,0.009097914850799426
0,15,Female,Latino,Biological child,0.20739988893205186
